gpu,strike,hour,touch_price,terminal_tail_upper_normalized,wedge_lower_bound
B200,7.5,496324,0.535,0.09325044404973355,0.4417495559502665
B200,7.5,496325,0.5345,0.09247027741083223,0.44202972258916773
B200,7.5,496326,0.5365,0.09358288770053474,0.44291711229946523
B200,7.5,496327,0.5345,0.08978195810175288,0.4447180418982471
B200,7.5,496328,0.5345,0.09051724137931033,0.44398275862068964
B200,7.5,496329,0.5285,0.09094846253789518,0.4375515374621048
B200,7.5,496330,0.5295,0.09222661396574439,0.4372733860342556
B200,7.5,496331,0.5285,0.09433962264150943,0.43416037735849056
B200,7.5,496332,0.5285,0.09312638580931264,0.4353736141906873
B200,7.5,496333,0.5285,0.09234828496042216,0.43615171503957784
B200,7.5,496334,0.5285,0.09259259259259257,0.4359074074074074
B200,7.5,496335,0.5285,0.09287925696594426,0.43562074303405574
B200,7.5,496336,0.5285,0.09263343625937362,0.4358665637406264
B200,7.5,496337,0.5285,0.09218612818261633,0.4363138718173836
B200,7.5,496338,0.5285,0.09300265721877768,0.4354973427812223
B200,7.5,496339,0.5285,0.09304386353566681,0.4354561364643332
B200,7.5,496340,0.5285,0.09218612818261633,0.4363138718173836
B200,7.5,496341,0.5305,0.09222661396574439,0.4382733860342556
B200,7.5,496342,0.531,0.09329187027987561,0.4377081297201244
B200,7.5,496343,0.5285,0.09267431597528684,0.4358256840247131
B200,7.5,496344,0.5305,0.09304386353566681,0.4374561364643332
B200,7.5,496345,0.5315,0.09316770186335403,0.4383322981366459
B200,7.5,496346,0.5285,0.09316770186335403,0.4353322981366459
B200,7.5,496347,0.5285,0.09400179051029543,0.4344982094897045
B200,7.5,496348,0.5285,0.09425493716337521,0.4342450628366248
B200,7.5,496349,0.5285,0.09349955476402493,0.43500044523597503
B200,7.5,496350,0.53,0.09395973154362416,0.4360402684563759
B200,7.5,496351,0.5285,0.09283819628647215,0.4356618037135278
B200,7.5,496352,0.5285,0.09341637010676156,0.4350836298932384
B200,7.5,496353,0.5285,0.0938337801608579,0.43466621983914205
B200,7.5,496354,0.5285,0.09283819628647215,0.4356618037135278
B200,7.5,496355,0.5285,0.09370816599732261,0.43479183400267735
B200,7.5,496356,0.5285,0.09320905459387482,0.4352909454061251
B200,7.5,496357,0.5285,0.09138381201044386,0.4371161879895561
B200,7.5,496358,0.5285,0.09247027741083223,0.4360297225891677
B200,7.5,496359,0.544,0.09325044404973358,0.45074955595026645
B200,7.5,496360,0.543,0.09362460989745876,0.4493753901025413
B200,7.5,496361,0.5415,0.09218612818261633,0.44931387181738364
B200,7.5,496362,0.535,0.09304386353566681,0.44195613646433324
B200,7.5,496363,0.535,0.09354120267260578,0.44145879732739424
B200,7.5,496364,0.535,0.09259259259259257,0.44240740740740747
B200,7.5,496365,0.535,0.09279717189571365,0.44220282810428635
B200,7.5,496366,0.535,0.09362460989745876,0.4413753901025413
B200,7.5,496367,0.535,0.09362460989745876,0.4413753901025413
B200,7.5,496368,0.535,0.09425493716337521,0.44074506283662485
B200,7.5,496369,0.535,0.0943820224719101,0.44061797752808995
B200,7.5,496370,0.5355,0.09300265721877768,0.4424973427812223
B200,7.5,496371,0.5355,0.0938337801608579,0.44166621983914206
B200,7.5,496372,0.5355,0.09502262443438914,0.44047737556561084
B200,7.5,496373,0.5355,0.09400179051029543,0.44149820948970453
B200,7.5,496374,0.535,0.09349955476402493,0.4415004452359751
B200,7.5,496375,0.535,0.09417040358744394,0.4408295964125561
B200,7.5,496376,0.5375,0.09283819628647215,0.4446618037135278
B200,7.5,496377,0.535,0.09433962264150943,0.4406603773584906
B200,7.5,496378,0.521,0.0898069151324652,0.4311930848675348
B200,7.5,496379,0.525,0.09017132551848513,0.4348286744815149
B200,7.5,496380,0.5225,0.08597285067873303,0.4365271493212669
B200,7.5,496381,0.5275,0.08968609865470853,0.4378139013452914
B200,7.5,496382,0.524,0.08679762448606669,0.4372023755139333
B200,7.5,496383,0.524,0.08558558558558559,0.4384144144144144
B200,7.5,496384,0.524,0.08593396653098147,0.43806603346901857
B200,7.5,496385,0.524,0.08608971454463073,0.4379102854553693
B200,7.5,496386,0.5245,0.08960573476702509,0.43489426523297486
B200,7.5,496387,0.524,0.09161704076958316,0.43238295923041686
B200,7.5,496388,0.524,0.09132420091324202,0.432675799086758
B200,7.5,496389,0.524,0.09057971014492754,0.43342028985507247
B200,7.5,496390,0.524,0.08589511754068715,0.4381048824593129
B200,7.5,496391,0.524,0.09017132551848513,0.4338286744815149
B200,7.5,496392,0.524,0.08608971454463073,0.4379102854553693
B200,7.5,496393,0.5365,0.08543165467625899,0.45106834532374096
B200,7.5,496394,0.534,0.09025270758122743,0.4437472924187726
B200,7.5,496395,0.534,0.08940545373267769,0.4445945462673223
B200,7.5,496396,0.5345,0.0898876404494382,0.4446123595505618
B200,7.5,496397,0.5345,0.09013068949977468,0.4443693105002253
B200,7.5,496398,0.5345,0.09009009009009009,0.4444099099099099
B200,7.5,496399,0.5365,0.09033423667570009,0.4461657633242999
B200,7.5,496400,0.5335,0.09149130832570906,0.4420086916742909
B200,7.5,496401,0.5325,0.090049527239982,0.442450472760018
B200,7.5,496402,0.537,0.090049527239982,0.44695047276001804
B200,7.5,496403,0.538,0.09021199819576003,0.44778800180424
B200,7.5,496404,0.525,0.09009009009009009,0.43490990990990996
B200,7.5,496405,0.536,0.090049527239982,0.44595047276001804
B200,7.5,496406,0.535,0.0898876404494382,0.44511235955056183
B200,7.5,496407,0.5335,0.08984725965858043,0.44365274034141955
B200,7.5,496408,0.536,0.08996851102114262,0.4460314889788574
B200,7.5,496409,0.5365,0.09000900090009001,0.44649099909990997
B200,7.5,496410,0.536,0.09157509157509157,0.44442490842490845
B200,7.5,496411,0.535,0.0898876404494382,0.44511235955056183
B200,7.5,496412,0.536,0.09000900090009001,0.44599099909991
B200,7.5,496413,0.536,0.09021199819576003,0.44578800180424
B200,7.5,496414,0.5345,0.08996851102114262,0.44453148897885736
B200,7.5,496415,0.534,0.08972633467922836,0.44427366532077167
B200,7.5,496416,0.534,0.08968609865470853,0.4443139013452915
B200,7.5,496417,0.5355,0.0898876404494382,0.4456123595505618
B200,7.5,496418,0.534,0.09025270758122743,0.4437472924187726
B200,7.5,496419,0.528,0.09025270758122743,0.4377472924187726
B200,7.5,496420,0.528,0.08928571428571429,0.4387142857142857
B200,7.5,496421,0.5275,0.09033423667570009,0.4371657633242999
B200,7.5,496422,0.5335,0.08984725965858043,0.44365274034141955
B200,7.5,496423,0.526,0.08992805755395683,0.4360719424460432
B200,7.5,496424,0.5345,0.0898876404494382,0.4446123595505618
B200,7.5,496425,0.5345,0.08976660682226212,0.44473339317773786
B200,7.5,496426,0.5345,0.08940545373267769,0.44509454626732226
B200,7.5,496427,0.5345,0.08944543828264759,0.44505456171735236
B200,7.5,496428,0.534,0.08968609865470853,0.4443139013452915
B200,7.5,496429,0.534,0.08956560680698612,0.4444343931930139
B200,7.5,496430,0.5355,0.08984725965858043,0.44565274034141955
B200,7.5,496431,0.5295,0.0894854586129754,0.44001454138702456
B200,7.5,496432,0.531,0.08968609865470853,0.44131390134529147
B200,7.5,496433,0.53,0.08972633467922836,0.44027366532077167
