ticker,event,gpu,rule,actual_rule,base_outcome,direction,radius_log,radius_pct
KXB200W-26AUG07-6.41,KXB200W-26AUG07,b200,terminal,terminal,no,down,,
KXB200W-26AUG07-6.41,KXB200W-26AUG07,b200,mean5,terminal,no,up,0.361262107946,43.5139573071
KXB200W-26AUG07-6.41,KXB200W-26AUG07,b200,mean5,terminal,no,down,,
KXB200W-26AUG07-6.41,KXB200W-26AUG07,b200,median7,terminal,no,up,,
KXB200W-26AUG07-6.41,KXB200W-26AUG07,b200,median7,terminal,no,down,,
KXB200W-26AUG07-6.41,KXB200W-26AUG07,b200,month_mean,terminal,no,up,0.351685847217,42.1461897356
KXB200W-26AUG07-6.41,KXB200W-26AUG07,b200,month_mean,terminal,no,down,,
KXB200W-26AUG07-6.41,KXB200W-26AUG07,b200,touch,terminal,yes,up,,
KXB200W-26AUG07-6.41,KXB200W-26AUG07,b200,touch,terminal,yes,down,0.00311526731695,0.312012480499
KXB200W-26JUL31-6.78,KXB200W-26JUL31,b200,terminal,terminal,no,up,0.0561178310197,5.77223088924
KXB200W-26JUL31-6.78,KXB200W-26JUL31,b200,terminal,terminal,no,down,,
KXB200W-26JUL31-6.78,KXB200W-26JUL31,b200,mean5,terminal,no,up,0.235983837787,26.6153846154
KXB200W-26JUL31-6.78,KXB200W-26JUL31,b200,mean5,terminal,no,down,,
KXB200W-26JUL31-6.78,KXB200W-26JUL31,b200,median7,terminal,no,up,,
KXB200W-26JUL31-6.78,KXB200W-26JUL31,b200,median7,terminal,no,down,,
KXB200W-26JUL31-6.78,KXB200W-26JUL31,b200,month_mean,terminal,no,up,0.259637609745,29.6460176991
KXB200W-26JUL31-6.78,KXB200W-26JUL31,b200,month_mean,terminal,no,down,,
KXB200W-26JUL31-6.78,KXB200W-26JUL31,b200,touch,terminal,no,up,1.02255319456e-15,1.02255319456e-13
KXB200W-26JUL31-6.78,KXB200W-26JUL31,b200,touch,terminal,no,down,,
KXB200W-26JUL24-7.24,KXB200W-26JUL24,b200,terminal,terminal,no,up,0.0656441044453,6.78466076696
KXB200W-26JUL24-7.24,KXB200W-26JUL24,b200,terminal,terminal,no,down,,
KXB200W-26JUL24-7.24,KXB200W-26JUL24,b200,mean5,terminal,no,up,0.200415300237,22.191011236
KXB200W-26JUL24-7.24,KXB200W-26JUL24,b200,mean5,terminal,no,down,,
